Year,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
2006,Talk to Me,"$4,533,261",193,"$391,000",-,33,Jul 13,Sep 27,Focus Features
2006,Talladega Nights: The Ballad of Ricky Bobby,"$148,213,377","3,807","$47,042,215",31.70%,"3,803",Aug 4,Oct 15,Sony Pictures Releasing
2006,Tenacious D in the Pick of Destiny,"$8,334,575","1,919","$3,110,000",-,"1,919",Nov 22,January 4,New Line Cinema
2006,Thank You for Smoking,"$24,793,509","1,020","$262,923",1.10%,5,Mar 17,Sep 14,-
2006,The Ant Bully,"$28,142,535","3,050","$8,432,465",30.00%,"3,050",Jul 28,Nov 16,Warner Bros.
2006,The Assassination of Jesse James by the Coward Robert Ford,"$3,909,149",301,"$147,812",3.80%,5,Sep 21,Jan 31,Warner Bros.
2006,The Astronaut Farmer,"$11,003,643","2,155","$4,454,319",40.50%,"2,155",Feb 23,Apr 26,Warner Bros.
2006,The Benchwarmers,"$59,843,754","3,282","$19,656,429",32.80%,"3,274",Apr 7,May 21,Revolution Studios
2006,The Black Dahlia,"$22,545,080","2,236","$10,005,895",44.40%,"2,226",September 15,Oct 26,Universal Pictures
2006,The Bourne Ultimatum,"$227,471,070","3,701","$69,283,690",30.50%,"3,660",Aug 3,Nov 29,Universal Pictures
2006,The Brave One,"$36,793,804","2,837","$13,471,488",36.60%,"2,755",Sep 14,Nov 29,Warner Bros.
2006,The Break-Up,"$118,703,275","3,146","$39,172,785",33.00%,"3,070",Jun 2,Sep 7,Universal Pictures
2006,The Bucket List,"$93,466,502","2,915","$335,837",0.40%,16,Dec 25,Jun 5,Warner Bros.
2006,The Comebacks,"$13,349,927","2,812","$5,554,594",41.60%,"2,812",Oct 19,Dec 27,Fox Atomic
2006,The Condemned,"$7,371,706","2,310","$3,807,595",51.70%,"2,310",Apr 27,May 24,Lionsgate
2006,The Covenant,"$23,380,495","2,681","$8,852,458",37.90%,"2,681",Sep 8,Oct 15,Screen Gems
2006,The Da Vinci Code,"$217,536,138","3,757","$77,073,388",35.40%,"3,735",May 19,Aug 20,Sony Pictures Releasing
2006,The Darjeeling Limited,"$11,902,715",698,"$134,938",1.10%,2,Sep 29,Feb 28,-
2006,The Departed,"$132,384,315","3,017","$26,887,467",20.30%,"3,017",Oct 6,Mar 22,Warner Bros.
2006,The Descent,"$26,024,456","2,095","$8,911,330",34.20%,"2,095",Aug 4,Oct 12,Lionsgate
2006,The Devil Wears Prada,"$124,740,460","2,882","$27,537,244",22%,"2,847",Jun 30,Dec 14,Twentieth Century Fox
2006,The Diving Bell and the Butterfly,"$6,003,227",213,"$75,721",1.30%,3,Nov 30,Apr 10,Miramax
2006,The Fast and the Furious: Tokyo Drift,"$62,514,415","3,030","$23,973,840",38.30%,"3,027",Jun 16,Sep 7,Universal Pictures
2006,The Fountain,"$10,144,010","1,472","$3,768,702",37.20%,"1,472",Nov 22,Feb 8,Warner Bros.
2006,The Game Plan,"$90,648,202","3,342","$22,950,971",25.30%,"3,103",Sep 28,Feb 18,Walt Disney Studios Motion Pictures
2006,The Golden Compass,"$70,107,728","3,528","$26,125,000",-,"3,528",Dec 7,Mar 6,New Line Cinema
2006,The Good Shepherd,"$59,952,835","2,250","$9,912,110",16.50%,"2,215",Dec 22,Mar 8,Universal Pictures
2006,The Great Debaters,"$30,236,407","1,290","$6,005,180",19.90%,"1,171",Dec 25,Apr 17,-
2006,The Grudge 2,"$39,143,839","3,214","$20,825,300",53.20%,"3,211",Oct 13,Nov 12,Sony Pictures Releasing
2006,The Guardian,"$55,011,732","3,241","$18,006,064",32.70%,"3,241",Sep 29,Jan 4,Walt Disney Studios Motion Pictures
2006,The Heartbreak Kid,"$36,787,257","3,233","$14,022,105",38.10%,"3,229",Oct 5,Dec 6,DreamWorks
2006,The Hills Have Eyes,"$41,778,863","2,621","$15,708,512",37.60%,"2,620",Mar 10,Jun 22,-
2006,The Hills Have Eyes 2,"$20,804,166","2,465","$9,686,362",46.60%,"2,447",Mar 23,Jun 7,Fox Atomic
2006,The History Boys,"$2,706,659",165,"$100,803",3.70%,7,Nov 21,Feb 25,-
2006,The Hitcher,"$16,472,961","2,836","$8,234,000",-,"2,831",Jan 19,Mar 18,Rogue Pictures
2006,The Hoax,"$7,164,995","1,069","$1,501,000",-,235,Apr 6,May 31,Miramax
2006,The Holiday,"$63,224,849","2,698","$12,778,913",20.20%,"2,610",Dec 8,Jan 28,Sony Pictures Releasing
2006,The Illusionist,"$39,868,642","1,438","$927,956",2%,51,Aug 18,Feb 15,Yari Film Group Releasing
2006,The Invasion,"$15,074,191","2,776","$5,951,409",39.50%,"2,776",Aug 17,Oct 11,Warner Bros.
2006,The Invisible,"$20,578,909","2,019","$7,717,309",37.50%,"2,019",Apr 27,Jul 26,Walt Disney Studios Motion Pictures
2006,The Jane Austen Book Club,"$3,575,227","1,232","$148,549",4.20%,25,Sep 21,Dec 20,Sony Pictures Classics
2006,The Kingdom,"$47,536,778","2,836","$17,135,055",36%,"2,793",Sep 28,Dec 31,Universal Pictures
2006,The Kite Runner,"$15,800,078",715,"$471,713",3%,35,Dec 14,Apr 17,Paramount Vantage
2006,The Lake House,"$52,330,111","2,645","$13,616,196",26.00%,"2,645",Jun 16,Sep 21,Warner Bros.
2006,The Last King of Scotland,"$17,606,684",540,"$142,899",0.80%,4,Sep 27,May 24,-
2006,The Last Kiss,"$11,614,790","1,359","$4,627,989",40%,"1,357",Sep 15,Oct 26,DreamWorks
2006,The Last Legion,"$5,933,494","2,002","$2,746,312",46.30%,"2,002",Aug 17,Nov 1,The Weinstein Company
2006,The Last Mimzy,"$21,471,047","3,017","$10,200,000",-,"3,017",Mar 23,Jun 14,New Line Cinema
2006,The Lives of Others,"$11,286,112",259,"$223,000",-,9,Feb 9,Sep 13,Sony Pictures Classics
2006,The Lookout,"$4,600,585",955,"$2,007,000",-,955,Mar 30,May 3,Miramax
2006,The Marine,"$18,844,784","2,545","$7,138,774",37.90%,"2,545",Oct 13,Jan 25,Twentieth Century Fox
2006,The Messengers,"$35,374,833","2,529","$14,713,321",41.60%,"2,528",Feb 2,Mar 18,Screen Gems
2006,The Mist,"$25,594,957","2,423","$8,931,973",34.90%,"2,423",Nov 21,Mar 20,-
2006,The Namesake,"$13,569,248",335,"$248,552",1.80%,6,Mar 9,Aug 5,-
2006,The Nanny Diaries,"$25,930,652","2,636","$7,480,927",28.80%,"2,629",Aug 24,Nov 29,-
2006,The Nativity Story,"$37,629,831","3,083","$8,025,000",-,"3,083",Dec 1,Jan 18,New Line Cinema
2006,The Night Listener,"$7,836,393","1,370","$3,600,000",-,"1,367",Aug 4,Sep 7,Miramax
2006,The Nightmare Before Christmas2006 3D Release,"$8,700,869",168,"$3,277,004",37.70%,168,Oct 20,Jan 4,Walt Disney Studios Motion Pictures
2006,The Nightmare Before Christmas2008 3D Release,"$14,486,897",564,"$5,330,101",36.80%,564,Oct 19,Dec 13,Walt Disney Studios Motion Pictures
2006,The Number 23,"$35,193,167","2,759","$15,107,000",-,"2,759",Feb 23,Mar 29,New Line Cinema
2006,The Omen,"$54,607,383","2,723","$16,026,496",29.30%,"2,723",Jun 6,Aug 31,Twentieth Century Fox
2006,The Orphanage,"$7,161,284",707,"$233,323",3.30%,19,Dec 28,Apr 10,Picturehouse
2006,The Painted Veil,"$8,060,487",287,"$51,086",0.60%,4,Dec 20,Apr 26,Warner Independent Pictures (WIP)
2006,The Perfect Holiday,"$5,812,781","1,307","$2,283,360",39.30%,"1,307",Dec 12,Feb 7,Yari Film Group Releasing
2006,The Pink Panther,"$82,226,474","3,477","$20,220,412",24.60%,"3,477",Feb 10,Apr 16,Sony Pictures Releasing
2006,The Polar Express2006 IMAX Release,"$2,940,722",37,"$108,656",3.70%,19,Nov 17,Jan 18,Warner Bros.
2006,The Prestige,"$53,089,891","2,305","$14,801,808",27.90%,"2,281",Oct 20,Feb 8,Walt Disney Studios Motion Pictures
2006,The Protector,"$12,044,087","1,541","$5,034,180",41.80%,"1,541",Sep 8,Nov 9,Dragon Dynasty
2006,The Pursuit of Happyness,"$163,566,459","3,169","$26,541,709",16.20%,"2,852",Dec 15,Mar 18,Sony Pictures Releasing
2006,The Queen,"$56,441,711","1,850","$122,014",0%,3,Sep 30,May 17,Miramax
2006,The Reaping,"$25,126,214","2,603","$10,025,203",39.90%,"2,603",Apr 5,Jun 7,Warner Bros.
2006,The Return,"$7,749,851","1,986","$4,776,000",-,"1,986",November 10,Dec 14,Rogue Pictures
2006,The Santa Clause 3: The Escape Clause,"$84,500,122","3,458","$19,504,038",23.10%,"3,458",Nov 3,Feb 8,Walt Disney Studios Motion Pictures
2006,The Savages,"$6,623,082",201,"$151,859",2.30%,4,Nov 28,Apr 27,-
2006,The Science of Sleep,"$4,670,644",243,"$347,925",7.40%,14,Sep 22,December 21,Warner Independent Pictures (WIP)
2006,The Seeker: The Dark Is Rising,"$8,794,452","3,173","$3,745,315",42.60%,"3,141",Oct 5,Dec 20,Twentieth Century Fox
2006,The Sentinel,"$36,280,697","2,851","$14,367,854",39.60%,"2,819",Apr 21,Jul 27,Twentieth Century Fox
2006,The Shaggy Dog,"$61,123,569","3,501","$16,310,058",26.70%,"3,501",Mar 10,Jul 27,Walt Disney Studios Motion Pictures
2006,The Simpsons Movie,"$183,135,014","3,926","$74,036,787",40.40%,"3,922",Jul 27,Dec 20,Twentieth Century Fox
2006,The Texas Chainsaw Massacre: The Beginning,"$39,517,763","2,820","$19,150,000",-,"2,820",Oct 6,Jan 4,New Line Cinema
2006,The Ultimate Gift,"$3,438,735",816,"$1,200,000",-,816,Mar 9,May 20,The Bigger Picture
2006,The Water Horse,"$40,946,255","2,777","$9,186,054",22.40%,"2,772",Dec 25,Feb 10,Revolution Studios
2006,The Wicker Man,"$23,649,127","2,784","$9,610,204",40.60%,"2,784",Sep 1,Nov 16,Warner Bros.
2006,The Wild,"$37,384,046","2,854","$9,684,809",25.90%,"2,854",Apr 14,Aug 17,Walt Disney Studios Motion Pictures
2006,There Will Be Blood,"$40,222,514","1,620","$190,739",0.50%,2,Dec 26,May 1,Paramount Vantage
2006,Things We Lost in the Fire,"$3,287,315","1,142","$1,561,949",47.50%,"1,142",Oct 19,Nov 8,DreamWorks
2006,This Christmas,"$49,121,934","1,921","$17,958,183",36.60%,"1,858",Nov 21,Jan 6,Screen Gems
2006,TMNT,"$54,149,098","3,120","$24,255,205",44.80%,"3,110",Mar 23,Jun 21,Warner Bros.
2006,Trailer Park Boys: The Movie,"$3,860,678",203,"$1,200,000",-,181,Oct 6,Jan 1,Alliance Atlantis Vivafilm
2006,Transformers,"$319,246,193","4,050","$70,502,384",22.10%,"4,011",Jul 3,Nov 8,DreamWorks
2006,Tristan + Isolde,"$14,734,633","1,845","$6,583,135",44.70%,"1,845",Jan 13,March 30,Twentieth Century Fox
2006,Tsotsi,"$2,912,606",122,"$76,324",2.60%,6,Feb 24,Jul 13,Miramax
2006,Turistas,"$7,027,762","1,572","$3,582,554",51.00%,"1,570",Dec 1,Jan 25,Fox Atomic
2006,Two Days in Paris,"$4,433,994",148,"$173,641",3.90%,10,Aug 10,Dec 6,The Samuel Goldwyn Company
2006,Ultraviolet,"$18,535,812","2,558","$9,064,880",48.90%,"2,558",Mar 3,Apr 2,Screen Gems
2006,Unaccompanied Minors,"$16,655,224","2,775","$5,815,474",34.90%,"2,775",Dec 8,Mar 8,Warner Bros.
2006,Underdog,"$43,760,605","3,013","$11,585,121",26.50%,"3,013",Aug 3,Dec 13,Walt Disney Studios Motion Pictures
2006,Underworld: Evolution,"$62,318,875","3,207","$26,857,181",43.10%,"3,207",Jan 20,Mar 12,Screen Gems
2006,United 93,"$31,483,450","1,871","$11,478,360",36.50%,"1,795",Apr 28,Jul 6,Universal Pictures
2006,V for Vendetta,"$70,511,035","3,365","$25,642,340",36.40%,"3,365",Mar 17,Jun 29,Warner Bros.
2006,Vacancy,"$19,363,565","2,551","$7,603,376",39.30%,"2,551",Apr 20,-,Screen Gems
2006,Van Wilder: The Rise of Taj,"$4,300,645","1,979","$2,313,372",53.80%,"1,979",Dec 1,-,Metro-Goldwyn-Mayer (MGM)
2006,Venus,"$3,347,411",168,"$35,604",1.10%,3,Dec 21,Apr 12,Miramax
2006,Volver,"$12,899,867",689,"$202,000",-,5,Nov 3,May 24,Sony Pictures Classics
2006,Waist Deep,"$21,344,312","1,006","$9,452,000",-,"1,004",Jun 23,Aug 3,Rogue Pictures
2006,Waitress,"$19,074,800",707,"$92,034",0.50%,4,May 2,Oct 25,-
2006,Walk Hard: The Dewey Cox Story,"$18,317,151","2,650","$4,174,383",22.80%,"2,650",Dec 21,Jan 13,Sony Pictures Releasing
2006,War,"$22,486,409","2,277","$9,820,089",43.70%,"2,277",Aug 24,Oct 4,Lionsgate
2006,Water2006 Re-release,"$3,278,815",91,"$56,280",1.70%,5,Apr 28,Oct 15,-
2006,We Are Marshall,"$43,545,364","2,606","$6,114,264",14.00%,"2,606",Dec 22,Mar 8,Warner Bros.
2006,We Own the Night,"$28,563,179","2,402","$10,826,287",37.90%,"2,362",Oct 12,Nov 11,Sony Pictures Releasing
2006,When a Stranger Calls,"$47,860,214","3,004","$21,607,203",45.10%,"2,999",Feb 3,March 19,Screen Gems
2006,Who's Your Caddy?,"$5,713,425","1,019","$2,756,661",48.20%,"1,019",Jul 27,-,-
2006,Why Did I Get Married?,"$55,204,525","2,034","$21,353,789",38.70%,"2,011",Oct 12,Dec 13,Lionsgate
2006,Wild Hogs,"$168,273,550","3,401","$39,699,023",23.60%,"3,287",Mar 2,Aug 2,Walt Disney Studios Motion Pictures
2006,Wordplay,"$3,121,270",154,"$32,847",1.10%,2,Jun 16,Nov 9,IFC Films
2006,World Trade Center,"$70,278,893","3,021","$18,730,762",26.70%,"2,957",Aug 9,Oct 19,Paramount Pictures
2006,X-Men: The Last Stand,"$234,362,462","3,714","$102,750,665",43.80%,"3,690",May 26,Sep 28,Twentieth Century Fox
2006,"You, Me and Dupree","$75,628,110","3,137","$21,525,560",28.50%,"3,131",Jul 14,Oct 5,Universal Pictures
2006,Zodiac,"$33,080,084","2,379","$13,395,610",40.50%,"2,362",Mar 2,May 3,Paramount Pictures
2006,Zoom,"$11,989,328","2,501","$4,510,408",37.60%,"2,501",Aug 11,Sep 17,Revolution Studios
2007,300,"$210,614,939","3,280","$70,885,301",33.70%,"3,103",Mar 9,Jul 12,Warner Bros.
2007,1408,"$71,985,628","2,733","$20,617,667",28.60%,"2,678",Jun 22,Oct 11,-
2007,28 Weeks Later,"$28,638,916","2,305","$9,807,292",34.20%,"2,303",May 11,Aug 16,Fox Atomic
2007,3:10 to Yuma,"$53,606,916","3,006","$14,035,033",26.20%,"2,652",Sep 7,Nov 15,Lionsgate
2007,30 Days of Night,"$39,569,000","2,859","$15,951,902",40.30%,"2,855",Oct 19,Nov 25,Sony Pictures Releasing
2007,A Mighty Heart,"$9,176,787","1,355","$3,948,863",43%,"1,355",Jun 22,Aug 23,Paramount Vantage
2007,Across the Universe,"$24,343,673",964,"$667,784",2.70%,23,Sep 14,Dec 9,Revolution Studios
2007,Alpha Dog,"$15,309,602","1,292","$6,412,775",41.90%,"1,289",Jan 12,Feb 22,Universal Pictures
2007,Alvin and the Chipmunks,"$217,326,974","3,499","$44,307,417",20.40%,"3,475",Dec 14,Jun 5,Twentieth Century Fox
2007,Amazing Grace,"$21,250,683","1,162","$4,305,000",-,791,Feb 23,Jun 14,IDP Distribution
2007,American Gangster,"$130,164,645","3,110","$43,565,135",33.50%,"3,054",Nov 2,Jan 31,Universal Pictures
2007,Aqua Teen Hunger Force Colon Movie Film for Theaters,"$5,520,368",877,"$3,088,000",-,877,Apr 13,Jun 14,First Look International
2007,Are We Done Yet?,"$49,662,533","2,944","$14,262,724",28.70%,"2,877",Apr 4,Jul 5,Revolution Studios
2007,Atonement,"$50,927,067","1,400","$784,145",1.50%,32,Dec 7,Apr 10,Focus Features
2007,August Rush,"$31,664,162","2,310","$9,421,369",29.80%,"2,310",Nov 21,Feb 28,Warner Bros.
2007,Awake,"$14,377,198","2,023","$5,856,872",40.70%,"2,002",Nov 30,Mar 6,-
2007,Away from Her,"$4,571,521",275,"$114,628",2.50%,13,May 4,Jul 19,Lionsgate
2007,Balls of Fury,"$32,886,940","3,081","$11,352,123",34.50%,"3,052",Aug 29,Nov 15,Rogue Pictures
2007,Because I Said So,"$42,674,040","2,529","$13,122,865",30.80%,"2,526",Feb 2,Apr 5,Universal Pictures
2007,Becoming Jane,"$18,670,946","1,210","$972,066",5.20%,100,Aug 3,Oct 25,Miramax
2007,Bee Movie,"$126,631,277","3,984","$38,021,044",30%,"3,928",Nov 2,Feb 14,DreamWorks
2007,Before the Devil Knows You're Dead,"$7,084,227",321,"$73,837",1%,2,Oct 26,Mar 13,THINKFilm
2007,Bella,"$8,070,537",457,"$1,328,448",16.50%,165,Oct 26,Jul 2,Roadside Attractions
2007,Beowulf,"$82,280,579","3,249","$27,515,871",33.40%,"3,153",Nov 16,Jan 31,Paramount Pictures
2007,Black Book,"$4,398,532",193,"$112,521",2.60%,9,Apr 4,Aug 23,Sony Pictures Classics
2007,Black Snake Moan,"$9,396,870","1,253","$4,143,199",44.10%,"1,252",Mar 2,May 24,Paramount Vantage
2007,Blades of Glory,"$118,594,548","3,467","$33,014,202",27.80%,"3,372",Mar 30,Jul 12,DreamWorks
2007,Blood and Chocolate,"$3,526,847","1,200","$2,074,300",58.80%,"1,200",Jan 26,Mar 29,Metro-Goldwyn-Mayer (MGM)
2007,Bratz,"$10,010,209","1,509","$4,208,455",42%,"1,509",Aug 3,Nov 1,Lionsgate
2007,Breach,"$33,231,264","1,505","$10,504,990",31.60%,"1,489",Feb 16,Apr 12,Universal Pictures
2007,Bridge to Terabithia,"$82,272,442","3,210","$22,564,612",27.40%,"3,139",Feb 16,Jun 28,Walt Disney Studios Motion Pictures
2007,Bug,"$7,025,810","1,661","$3,245,556",46.20%,"1,661",May 25,Jun 21,Lionsgate
2007,Catch and Release,"$15,539,051","1,622","$7,658,898",49.30%,"1,622",Jan 26,Mar 18,Sony Pictures Releasing
2007,Charlie Wilson's War,"$66,661,095","2,594","$9,656,250",14.50%,"2,575",Dec 21,Mar 6,Universal Pictures
2007,Code Name: The Cleaner,"$8,135,024","1,736","$4,300,000",-,"1,736",Jan 5,Feb 1,New Line Cinema
2007,Daddy Day Camp,"$13,235,267","2,332","$3,402,678",25.70%,"2,332",Aug 8,Oct 14,Revolution Studios
2007,Daddy's Little Girls,"$31,366,978","2,111","$11,210,754",35.70%,"2,111",Feb 14,Mar 29,Lionsgate
2007,Dan in Real Life,"$47,642,963","1,941","$11,809,445",24.80%,"1,921",Oct 26,Feb 10,Walt Disney Studios Motion Pictures
2007,Dead Silence,"$16,809,076","1,806","$7,842,725",46.70%,"1,805",Mar 16,Apr 19,Universal Pictures
2007,Death at a Funeral,"$8,580,428",324,"$1,282,973",15%,260,Aug 17,Jan 3,Metro-Goldwyn-Mayer (MGM)
2007,Death Sentence,"$9,534,258","1,823","$4,231,321",44.40%,"1,822",Aug 31,Nov 1,Twentieth Century Fox
2007,Delta Farce,"$8,130,530","1,931","$3,420,645",42.10%,"1,931",May 11,Jun 14,Lionsgate
2007,Disturbia,"$80,209,692","3,132","$22,224,982",27.70%,"2,925",Apr 13,Aug 2,DreamWorks
2007,Dragon Wars: D-War,"$10,977,721","2,277","$5,376,000",-,"2,277",Sep 14,Oct 18,Freestyle Releasing
2007,Eastern Promises,"$17,266,000","1,408","$547,092",3.20%,15,Sep 14,-,Focus Features
2007,El cantante,"$7,556,712",542,"$3,202,035",42.40%,542,Aug 3,Oct 4,Picturehouse
2007,Elizabeth: The Golden Age,"$16,383,509","2,006","$6,153,075",37.60%,"2,001",Oct 12,Dec 31,Universal Pictures
2007,Enchanted,"$127,807,262","3,730","$34,440,317",26.90%,"3,730",Nov 21,Mar 13,Walt Disney Studios Motion Pictures
2007,Epic Movie,"$39,739,367","2,840","$18,612,544",46.80%,"2,801",Jan 26,May 3,Twentieth Century Fox
2007,Evan Almighty,"$100,462,298","3,636","$31,192,615",31%,"3,604",Jun 22,-,Universal Pictures
2007,Evening,"$12,492,481",979,"$3,513,000",-,977,Jun 29,Aug 2,Focus Features
2007,Fantastic Four: Rise of the Silver Surfer,"$131,921,738","3,963","$58,051,684",44%,"3,959",Jun 15,Oct 18,Twentieth Century Fox
2007,Feast of Love,"$3,511,074","1,203","$1,707,967",48.60%,"1,200",Sep 28,-,Metro-Goldwyn-Mayer (MGM)
2007,Feel the Noise,"$5,898,393","1,020","$3,187,153",54%,"1,015",Oct 5,-,-
2007,Firehouse Dog,"$13,932,383","2,881","$3,838,916",27.60%,"2,860",Apr 4,Aug 2,Twentieth Century Fox
2007,Fracture,"$39,015,018","2,443","$11,180,000",-,"2,443",Apr 20,Jul 26,New Line Cinema
2007,Fred Claus,"$72,006,777","3,603","$18,515,473",25.70%,"3,603",Nov 9,Feb 14,Warner Bros.
2007,Freedom Writers,"$36,605,602","2,286","$9,405,582",25.70%,"1,360",Jan 5,Mar 15,Paramount Pictures
2007,Georgia Rule,"$19,103,072","2,531","$6,773,870",35.50%,"2,523",May 11,Jun 28,Universal Pictures
2007,Ghost Rider,"$115,802,596","3,620","$45,388,836",39.20%,"3,619",Feb 16,Apr 29,Sony Pictures Releasing
2007,Gone Baby Gone,"$20,300,218","1,713","$2,299,000",11.30%,"1,713",Oct 19,Jan 1,Miramax
2007,Good Luck Chuck,"$35,017,297","2,612","$13,652,001",39%,"2,612",Sep 21,Nov 15,Lionsgate
2007,Grindhouse,"$25,037,897","2,629","$11,596,613",46.30%,"2,624",Apr 6,Jun 21,-
2007,Hairspray,"$118,871,849","3,121","$27,800,000",-,"3,121",Jul 20,Oct 25,New Line Cinema
2007,Halloween,"$58,272,029","3,475","$26,362,367",45.20%,"3,472",Aug 31,Dec 13,-
2007,Hannibal Rising,"$27,670,986","3,003","$13,051,650",47.20%,"3,003",Feb 9,May 10,-
2007,Happily N'Ever After,"$15,589,393","2,381","$6,608,244",42.40%,"2,381",Jan 5,Feb 15,Lionsgate
2007,Harry Potter and the Order of the Phoenix,"$292,004,738","4,285","$77,108,414",26.40%,"4,285",Jul 11,Dec 13,Warner Bros.
2007,Hitman,"$39,687,694","2,468","$13,180,769",33.20%,"2,458",Nov 21,Mar 13,Twentieth Century Fox
2007,Hostel: Part II,"$17,609,452","2,350","$8,203,391",46.60%,"2,350",Jun 8,Jul 5,Lionsgate
2007,Hot Fuzz,"$23,637,265","1,272","$5,837,000",-,825,Apr 20,Jul 26,Rogue Pictures
2007,Hot Rod,"$13,938,332","2,607","$5,310,711",38.10%,"2,607",Aug 3,Sep 27,Paramount Pictures
2007,I Am Legend,"$256,393,010","3,648","$77,211,321",30.10%,"3,606",Dec 14,Apr 10,Warner Bros.
2007,I Know Who Killed Me,"$7,498,716","1,320","$3,506,291",46.80%,"1,320",Jul 27,-,Sony Pictures Releasing
2007,I Now Pronounce You Chuck & Larry,"$120,059,556","3,501","$34,233,750",28.50%,"3,495",Jul 20,Oct 18,Universal Pictures
2007,I Think I Love My Wife,"$12,550,605","1,794","$5,674,802",45.20%,"1,776",Mar 16,May 31,-
2007,I'm Not There,"$4,017,609",149,"$730,819",18.20%,130,Nov 21,Mar 6,The Weinstein Company
2007,In the Land of Women,"$11,052,958","2,155","$4,712,341",42.60%,"2,155",Apr 20,Jun 28,Warner Bros.
2007,In the Valley of Elah,"$6,777,741",978,"$133,557",2%,9,Sep 14,Feb 21,Warner Independent Pictures (WIP)
2007,Into the Wild,"$18,354,356",660,"$212,440",1.20%,4,Sep 21,Mar 27,Paramount Vantage
2007,Juno,"$143,495,265","2,534","$413,869",0.30%,7,Dec 5,Jun 19,-
2007,Kickin' It Old Skool,"$4,502,604","1,816","$2,484,624",55.20%,"1,816",Apr 27,Jul 12,Yari Film Group Releasing
2007,Knocked Up,"$148,768,917","2,975","$30,690,990",20.60%,"2,871",Jun 1,-,Universal Pictures
2007,La Vie En Rose,"$10,301,706",178,"$179,848",1.70%,8,Jun 8,Apr 10,Picturehouse
2007,Ladrón que roba a ladrón,"$4,011,254",340,"$1,626,090",40.50%,340,Aug 31,Oct 18,Lionsgate
2007,Lars and the Real Girl,"$5,972,884",321,"$90,418",1.50%,7,Oct 12,Mar 6,Metro-Goldwyn-Mayer (MGM)
2007,License to Wed,"$43,799,818","2,715","$10,422,258",23.80%,"2,604",Jul 3,Oct 4,Warner Bros.
2007,Lions for Lambs,"$15,002,854","2,216","$6,702,434",44.70%,"2,215",Nov 9,Feb 7,United Artists
2007,Live Free or Die Hard,"$134,529,403","3,411","$33,369,559",24.80%,"3,408",Jun 27,Nov 8,Twentieth Century Fox
2007,Love in the Time of Cholera,"$4,607,608",852,"$1,915,000",-,852,Nov 16,Dec 20,New Line Cinema
2007,Lucky You,"$5,758,950","2,525","$2,710,445",47.10%,"2,525",May 4,Jul 5,Warner Bros.
2007,"Lust, Caution","$4,604,982",143,"$63,918",1.40%,1,Sep 28,Jan 24,Focus Features
2007,Martian Child,"$7,500,310","2,020","$3,650,000",-,"2,020",Nov 2,Dec 13,New Line Cinema
2007,Meet the Robinsons,"$97,822,171","3,435","$25,123,781",25.70%,"3,413",Mar 30,Sep 6,Walt Disney Studios Motion Pictures
2007,Michael Clayton,"$49,033,882","2,585","$719,910",1.50%,15,Oct 5,Mar 20,Warner Bros.
2007,Mr. Bean's Holiday,"$33,302,167","1,778","$9,889,780",29.70%,"1,714",Aug 24,Oct 18,Universal Pictures
2007,Mr. Brooks,"$28,549,298","2,453","$10,017,067",35.10%,"2,453",Jun 1,-,Metro-Goldwyn-Mayer (MGM)
2007,Mr. Magorium's Wonder Emporium,"$32,061,555","3,168","$9,630,085",30%,"3,164",Nov 16,Mar 13,Twentieth Century Fox
2007,Mr. Woodcock,"$25,799,486","2,237","$9,100,000",-,"2,231",Sep 14,Nov 15,New Line Cinema
2007,Music and Lyrics,"$50,572,589","2,955","$13,623,630",26.90%,"2,955",Feb 14,May 17,Warner Bros.
2007,Nancy Drew,"$25,612,520","2,612","$6,832,318",26.70%,"2,612",Jun 15,Aug 30,Warner Bros.
2007,National Treasure: Book of Secrets,"$219,964,115","3,832","$44,783,772",20.40%,"3,832",Dec 21,Jun 19,Walt Disney Studios Motion Pictures
2007,Next,"$18,211,013","2,733","$7,133,049",39.20%,"2,725",Apr 27,Jun 21,Paramount Pictures
2007,Nitro,"$3,768,878",74,-,-,-,Jun 29,Nov 18,Alliance Atlantis Vivafilm
2007,No Country for Old Men,"$74,283,625","2,037","$1,202,000",-,28,Nov 9,Apr 10,Miramax
2007,No Reservations,"$43,107,979","2,425","$11,704,357",27.20%,"2,425",Jul 27,Nov 15,Warner Bros.
2007,Norbit,"$95,673,607","3,145","$34,195,434",35.70%,"3,136",Feb 9,May 3,DreamWorks
2007,Ocean's Thirteen,"$117,154,724","3,565","$36,133,403",30.80%,"3,565",Jun 8,Sep 20,Warner Bros.
2007,Om Shanti Om,"$3,597,372",114,"$1,500,000",-,114,Nov 9,Dec 13,Eros Worldwide
2007,Once,"$9,439,923",150,"$61,901",0.70%,2,May 16,Dec 20,-
2007,P.S. I Love You,"$53,695,808","2,471","$6,481,221",12.10%,"2,454",Dec 21,Mar 13,Warner Bros.
2007,P2,"$3,995,018","2,131","$2,083,398",52.10%,"2,131",Nov 9,Dec 20,Summit Entertainment
2007,"Paris, I Love You","$4,899,278",200,"$39,242",0.80%,2,May 4,Aug 9,First Look International
2007,Pathfinder,"$10,232,081","1,756","$5,001,214",48.90%,"1,720",Apr 13,Jun 17,Twentieth Century Fox
2007,Perfect Stranger,"$23,984,949","2,661","$11,206,163",46.70%,"2,661",Apr 13,-,Revolution Studios
